id	nm	lat	lon	countryCode
1783934	Shangqiu	34.450001	115.650002	CN
1783940	Zhuji	29.718760	120.242332	CN
1784074	Zhouzhuang	31.116140	120.845100	CN
1784178	Zhoucun	36.816669	117.816673	CN
1784185	Yuxi	24.355000	102.542221	CN
1784253	Zhongxing	33.703892	118.679169	CN
1784310	Zhongshu	24.516670	103.766670	CN
1784553	Zhicheng	31.006109	119.903610	CN
1784554	Zhicheng	30.295561	111.504723	CN
1784580	Zhenzhou	32.269169	119.178886	CN
1784647	Zhaobaoshan	29.969500	121.687531	CN
1784658	Zhengzhou	34.757778	113.648613	CN
1784929	Zhaogezhuang	39.766670	118.400002	CN
1784953	Zhaoyuan	37.359169	120.396393	CN
1784990	Zhanjiang	21.281450	110.342712	CN
1785462	Zaoyang	32.127220	112.754173	CN
1785545	Yuyao	30.049999	121.149437	CN
1785566	Yuzhou	34.162781	113.463890	CN
1785572	Yuxia	34.061539	108.629051	CN
1785623	Yushan	31.377621	120.954300	CN
1785655	Yunyang	33.447430	112.714218	CN
1785698	Yunmeng Chengguanzhen	31.062510	113.765450	CN
1785710	Jinghong	21.991020	100.734093	CN
1785716	Pizhou	34.311390	117.950279	CN
1785777	Yulin	38.290562	109.749443	CN
1785980	Yucheng	34.928890	116.465279	CN
1786060	Yuanping	38.715279	112.757500	CN
1786067	Yuanlin	30.415131	112.885948	CN
1786112	Heyuan	23.733330	114.683327	CN
1786357	Yongfeng	27.428289	112.183380	CN
1786378	Yongchuan	29.351391	105.894722	CN
1786455	Yishui	35.784721	118.628059	CN
1786546	Zhongxiang	31.166109	112.583061	CN
1786587	Yingshang Chengguanzhen	32.629452	116.270142	CN
1786640	Yingcheng	30.950001	113.550003	CN
1786676	Yima	34.738060	111.883888	CN
1786720	Yigou	35.811390	114.316673	CN
1786731	Qingzhou	36.696671	118.479721	CN
1786759	Yicheng	31.704720	112.256111	CN
1786760	Yicheng	31.370529	119.870270	CN
1786770	Yibin	28.766670	104.623833	CN
1786855	Yatou	37.150002	122.383331	CN
1786867	Yashan	22.197500	109.941940	CN
1787031	Yanzhou	35.552780	116.828613	CN
1787144	Yanliang	34.659180	109.229210	CN
1787323	Yangshuo	24.780809	110.489670	CN
1787331	Zhangjiagang	31.865000	120.538887	CN
1787351	Yangquan	37.857498	113.563332	CN
1787437	Yangliuqing	39.137501	116.999718	CN
1787601	Yanggu	36.110561	115.775284	CN
1787824	Tongshan	34.180450	117.157066	CN
1787837	Xucheng	20.350000	110.128838	CN
1787901	Xunchang	28.454330	104.714981	CN
1788206	Xixiang	35.162781	112.864998	CN
1788268	Xiulin	29.716669	112.400002	CN
1788402	Xiongzhou	25.116671	114.300003	CN
1788406	Guixi	28.288570	117.213287	CN
1788452	Xinzhou	30.866671	114.800003	CN
1788462	Xinzhi	36.498890	111.704720	CN
1788522	Xinye	32.518608	112.352219	CN
1788534	Xinyang	32.122780	114.065559	CN
1788618	Xintai	35.900558	117.751938	CN
1788638	Xinshi	31.047041	113.140984	CN
1788816	Xinji	37.902779	115.203613	CN
1788869	Shangmei	27.742781	111.295563	CN
1789118	Xindian	36.797501	118.294441	CN
1789137	Xindi	29.816669	113.466667	CN
